text,count,mean_combined_score,std_combined_score,max_combined_score,mean_comp_deviation,mean_norm_shift,n_tokens
Toledo Jeeps,1,1.0870631622142846,0.0,1.0870631622142846,0.396484375,1.9451359328794615,2
prison term and up to,1,1.0869685672613691,0.0,1.0869685672613691,0.17041015625,2.216322785340923,5
"Operation Just Cause"".",1,1.0864109867333918,0.0,1.0864109867333918,0.52783203125,1.710396973669417,3
people. Passed in,1,1.0860215308404562,0.0,1.0860215308404562,0.34814453125,1.9872095888198902,3
"Company Limited, also known as",1,1.085329986083479,0.0,1.085329986083479,0.33056640625,2.1142038714586975,5
release of the EP Kontour,1,1.0852614559884945,0.0,1.0852614559884945,0.392578125,2.050433913408736,5
scholarships for disabled swimm,1,1.0850415589124496,0.0,1.0850415589124496,0.39306640625,1.938433975406124,4
-bearing mosquitos,1,1.0848067435523103,0.0,1.0848067435523103,0.51611328125,1.8915822885682758,2
40 undergraduates,1,1.0842264497874863,0.0,1.0842264497874863,0.328125,2.0740915150937154,2
studied at the Conservatoire,1,1.0838449777779535,0.0,1.0838449777779535,0.29931640625,2.0687433038198835,4
"12, 1",1,1.083391726692874,0.0,1.083391726692874,0.37353515625,1.9299148636071852,2
ice hockey) side,1,1.0831675343618064,0.0,1.0831675343618064,0.3955078125,1.9275233280920157,3
